video_id,date,title,mp3_url
fbc-081119ss-when-wilt-thou-comfort-me,20190811,When Wilt Thou Comfort Me,http://fbcministries.net/sermons/081119SS-When_Wilt_Thou_Comfort_Me.mp3
fbc-080719mw-some-things-to-remember-in-times-of-heaviness,20190807,Some Things To Remember In Times Of Heaviness,http://fbcministries.net/sermons/080719MW-Some_Things_To_Remember_In_Times_Of_Heaviness.mp3
fbc-080419am-the-value-of-work,20190804,The Value Of Work,http://fbcministries.net/sermons/080419AM-The_Value_Of_Work.mp3
fbc-080419ss-let-my-heart-be-sound-in-thy-statutes,20190804,Let My Heart Be Sound In Thy Statutes,http://fbcministries.net/sermons/080419SS-Let_My_Heart_Be_Sound_In_Thy_Statutes.mp3
fbc-073119mw-laboring-in-prayer,20190731,Laboring In Prayer,http://fbcministries.net/sermons/073119MW-Laboring_In_Prayer.mp3
fbc-072819am-the-word-of-the-lord-endureth-forever,20190728,The Word Of The Lord Endureth Forever,http://fbcministries.net/sermons/072819AM-The_Word_Of_The_Lord_Endureth_Forever.mp3
fbc-072819ss-lessons-through-affliction,20190728,Lessons Through Affliction,http://fbcministries.net/sermons/072819SS-Lessons_Through_Affliction.mp3
fbc-072119ss-allowing-his-word-to-direct-my-ways,20190721,Allowing His Word To Direct My Ways,http://fbcministries.net/sermons/072119SS-Allowing_His_Word_To_Direct_My_Ways.mp3
fbc-071719mw-the-wind-was-contrary,20190717,The Wind Was Contrary,http://fbcministries.net/sermons/071719MW-The_Wind_Was_Contrary.mp3
fbc-071419am-give-no-place-to-the-devil,20190714,Give No Place To The Devil,http://fbcministries.net/sermons/071419AM-Give_No_Place_To_The_Devil.mp3
fbc-071419ss-comfort-in-affliction,20190714,Comfort In Affliction,http://fbcministries.net/sermons/071419SS-Comfort_In_Affliction.mp3
fbc-071019mw-lift-up-your-eyes,20190710,Lift Up Your Eyes,http://fbcministries.net/sermons/071019MW-Lift_Up_Your_Eyes.mp3
fbc-070719am-be-ye-angry-and-sin-not,20190707,Be Ye Angry And Sin Not,http://fbcministries.net/sermons/070719AM-Be_Ye_Angry_And_Sin_Not.mp3
